Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-07-02,285.91,242.81,277.595,278.28,276.92,278.27,144621.49191766
2017-07-01,278.59,238.0,252.995,252.99,252.99,253.0,204980.63884805
2017-06-30,301.9,268.16,268.385,268.32,268.32,268.45,111069.90018926
2017-06-29,318.27,276.0,291.21,291.29,291.12,291.3,174104.76227039
2017-06-28,318.27,255.0,311.16,311.03,311.06,311.26,277106.37819224
2017-06-27,275.7,204.11,275.7,275.7,275.6,275.8,319735.52836165
2017-06-26,286.85,214.99,246.3,246.51,246.01,246.59,368441.95358456
2017-06-25,306.39,253.2,269.12,268.95,268.32,269.92,139260.52771048
2017-06-24,327.55,291.53,296.385,296.58,296.38,296.39,55170.98011721
2017-06-23,329.9,315.07,325.985,325.98,325.98,325.99,32621.88031111
2017-06-22,328.99,303.0,318.535,318.51,318.53,318.54,111238.10377588
2017-06-21,349.98,287.11,308.89,307.76,307.79,309.99,178509.67902452
2017-06-20,366.52,328.0,346.36,347.68,345.11,347.61,93332.14508153
2017-06-19,362.5,344.13,354.54,354.4,354.38,354.7,49127.45936772
2017-06-18,377.46,336.89,347.34,347.0,346.92,347.76,81816.68239497
2017-06-17,364.8,332.0,363.0,362.5,362.51,363.49,62868.47125681
2017-06-16,355.51,305.22,345.465,345.05,345.1,345.83,107017.92996609
2017-06-15,344.0,265.0,337.09,337.07,337.07,337.11,323584.23040802
2017-06-14,385.73,315.0,331.205,330.44,330.44,331.97,169596.41367478
2017-06-13,395.0,345.61,376.97,376.98,376.96,376.98,129926.10171457
2017-06-12,412.21,297.0,366.34,367.52,364.93,367.75,335739.8827691
2017-06-11,347.0,310.0,340.595,340.5,340.32,340.87,161607.01118962
2017-06-10,333.13,276.42,333.015,333.13,332.9,333.13,140537.21682629
2017-06-09,278.88,256.19,277.68,278.12,277.24,278.12,75973.31027303
2017-06-08,258.93,242.04,256.475,256.21,256.22,256.73,44230.51589262
2017-06-07,263.7,241.01,250.055,250.12,249.99,250.12,73727.57864487
2017-06-06,264.99,238.23,259.985,259.99,259.98,259.99,115297.54612696
2017-06-05,244.29,231.72,242.37,242.77,242.14,242.6,59897.38966504
2017-06-04,245.98,215.25,242.275,243.29,242.27,242.28,105369.53353595
2017-06-03,217.99,210.01,216.09,215.93,215.96,216.22,27343.24782613
2017-06-02,219.21,208.23,215.55,215.86,215.29,215.81,43345.34664954
2017-06-01,227.32,196.0,212.205,212.3,212.0,212.41,130256.28263066
2017-05-31,230.55,200.9,218.315,218.65,218.01,218.62,184920.94800818
2017-05-30,228.0,182.0,220.85,220.08,220.11,221.59,204581.7033627
2017-05-29,191.3,155.01,188.77,188.67,188.64,188.9,130851.35386545
2017-05-28,172.79,143.62,158.73,158.43,158.46,159.0,184439.00237469
2017-05-27,161.0,110.42,145.125,147.0,144.56,145.69,367301.9751458
2017-05-26,187.0,143.64,151.97,152.68,151.33,152.61,196734.04077361
